geneID	x	y	MIDCount	cell
Sdccag8	18111	21710	1	150887
Akt3	25339	11933	1	245217
Sdccag8	30353	20034	1	320201
Sdccag8	28143	22152	1	291419
Cep170	14214	14408	1	90436
Cep170	17413	20507	1	140657
Cep170	16997	18247	1	134139
Cep170	27657	15344	1	284327
Cep170	24214	24097	1	224343
Cep170	15168	23247	1	105603
Cep170	29919	19424	1	314958
Pld5	20172	15876	1	168297
Pld5	26049	23461	1	259024
Rbm8a2	23902	14001	1	218280
Rbm8a2	22718	21294	1	196624
Rbm8a2	20342	15855	1	169750
Rbm8a2	17947	21073	1	148633
Rbm8a2	16567	15808	1	127316
Rbm8a2	20202	13635	1	168373
Rbm8a2	23116	13310	1	204206
Rbm8a2	23097	23938	1	203657
Rbm8a2	19991	11013	1	166469
Rbm8a2	24274	13243	1	225814
Rbm8a2	31618	15217	1	332531
Rbm8a2	29977	21976	1	315812
Rbm8a2	13122	18418	2	74540
Rbm8a2	23919	12940	1	218610
Exo1	29181	16563	1	305583
Exo1	26258	12085	1	262724
Fh1	11750	23783	1	53600
Fh1	8159	13157	1	12143
Fh1	16108	24930	1	120402
Fh1	31366	14605	1	330557
Fh1	25237	13274	1	243503
Fh1	25674	11877	1	252484
Fh1	28148	22308	1	291206
Fh1	28874	15980	1	301622
Fh1	25713	23805	1	252812
Fh1	28837	14045	1	301125
Fh1	29572	19411	1	310639
Fh1	25060	9926	1	240322
Fh1	17964	11438	1	148987
Fh1	15586	23715	1	112136
Rgs7	8089	13090	1	11526
Fmn2	25135	11794	1	241703
Spta1	26247	12888	1	262470
Ackr1	28615	16463	1	297931
Dusp23	27388	22041	1	280799
Cfap45	19009	18628	1	158898
Cfap45	13159	19438	1	74982
Tagln2	28138	14934	1	291004
Tagln2	21614	9913	1	181436
Tagln2	29403	20378	1	308528
Tagln2	32241	19716	1	336162
Tagln2	17646	18305	1	143912
Tagln2	24581	22832	1	231236
Tagln2	30360	20906	1	320288
Tagln2	24237	25374	1	225016
Tagln2	10363	11989	1	34984
Tagln2	31032	21083	1	327447
Tagln2	28274	15771	1	293095
Tagln2	29983	14281	1	315727
Tagln2	29227	16269	1	306378
Tagln2	28024	16030	1	289640
Igsf9	29445	20210	1	309148
Pigm	13515	18219	1	79828
Pigm	26475	18620	1	266391
Igsf8	9085	20265	1	20243
Igsf8	30568	20340	1	322515
Igsf8	22603	21284	1	194891
Igsf8	30683	13413	2	323696
Igsf8	14278	10656	1	91431
Igsf8	12665	19988	1	67517
Atp1a2	12101	23672	1	59358
Atp1a2	22089	12060	1	186521
Atp1a2	17903	21541	1	148388
Casq1	22863	14218	1	199574
Casq1	22637	13282	1	195249
Pea15a	12521	20465	1	65465
Pea15a	20327	15876	1	169599
Pea15a	29675	19771	1	312338
Pea15a	6333	16472	1	561
Pea15a	23776	13928	1	216318
Pea15a	14588	13283	1	96275
Pea15a	22024	9907	1	185922
Pea15a	26851	17691	1	272578
Pea15a	24693	13746	1	233400
Dcaf8	30446	15111	1	321219
Dcaf8	12401	22328	1	64102
Pea15a	23032	13037	1	202502
Pea15a	12928	22996	1	71694
Pea15a	31210	14887	1	329091
Pea15a	16509	14111	1	125899
Pea15a	15950	19028	1	117823
Pea15a	25474	9969	1	248278
Pea15a	30270	19345	1	319290
Pea15a	17709	20279	1	145134
Pea15a	16744	15168	1	129775
Dcaf8	29881	12279	1	314705
Dcaf8	29879	15488	1	314643
Dcaf8	24484	13259	1	229504
Dcaf8	15052	16600	1	103665
Dcaf8	25291	21073	1	244433
Dcaf8	17425	21994	1	141035
Dcaf8	29302	19752	1	307227
Dcaf8	24992	12978	1	238812
Dcaf8	18844	10664	1	157787
Dcaf8	22583	9889	1	194326
Dcaf8	31906	15910	1	334446
Pex19	23044	24628	2	202386
Pex19	24661	11968	1	232739
Pex19	25982	25522	1	257916
