,0,1,2
JCHAIN,-2.5831143736158246,5.607034110075323,0.718118058268312
TAGLN,-0.48054708540528307,-1.1223817455203102,4.117118673869209
DUSP1,-0.6164983341779158,-3.3441573246505674,1.94218742059653
CD81,-1.172920038173642,-2.072610834505423,0.4141141274603447
NLRC5,1.4702604264313712,1.9454302041372082,-1.0583320007393124
SELL,0.8620375956427231,2.068576447876407,-1.411055321229056
CCL19,0.3800539808786076,-3.559701168055421,4.516672273128681
CRP,0.033387804194602334,0.04813141371604528,-0.10811977144701354
CD63,-2.0223226874275384,-4.254141152604623,2.8334735001289584
VHL,0.6663423302785043,1.6006744703513895,-0.4175789581794857
CD48,1.1861795382804894,1.472279550410963,-1.2634358394616885
RAC2,1.0892380350094473,1.1891133608884101,-1.4198846775222764
